CVE	Problem 
CVE-2019-16709	CWE-772
CVE-2019-1671	CWE-79
CVE-2019-16710	CWE-772
CVE-2019-16711	CWE-772
CVE-2019-16712	CWE-772
CVE-2019-16713	CWE-772
CVE-2019-16714	CWE-200
CVE-2019-16716	CWE-276
CVE-2019-16717	CWE-79
CVE-2019-16718	CWE-78
CVE-2019-16719	CWE-79
CVE-2019-16719	CWE-352
CVE-2019-1672	CWE-400
CVE-2019-16720	CWE-434
CVE-2019-16721	CWE-352
CVE-2019-16722	CWE-20
CVE-2019-16723	CWE-639
CVE-2019-16724	CWE-120
CVE-2019-16725	CWE-79
CVE-2019-16728	CWE-79
CVE-2019-16729	NVD-CWE-noinfo
CVE-2019-1673	CWE-79
CVE-2019-16730	CWE-20
CVE-2019-16731	CWE-306
CVE-2019-16732	CWE-347
CVE-2019-16733	CWE-78
CVE-2019-16734	CWE-798
CVE-2019-16735	CWE-787
CVE-2019-16736	CWE-787
CVE-2019-16737	CWE-78
CVE-2019-16738	CWE-200
CVE-2019-1674	CWE-78
CVE-2019-16743	CWE-89
CVE-2019-16744	CWE-89
CVE-2019-16745	CWE-89
CVE-2019-16746	CWE-120
CVE-2019-16747	CWE-787
CVE-2019-16748	CWE-125
CVE-2019-1675	CWE-798
CVE-2019-16751	CWE-79
CVE-2019-16752	CWE-352
CVE-2019-16753	CWE-347
CVE-2019-16754	CWE-476
CVE-2019-16755	CWE-502
CVE-2019-16758	CWE-22
CVE-2019-16759	CWE-20
CVE-2019-1676	CWE-20
CVE-2019-16760	CWE-494
CVE-2019-16761	CWE-20
CVE-2019-16762	CWE-20
CVE-2019-16763	CWE-79
CVE-2019-16764	CWE-20
CVE-2019-16765	CWE-20
CVE-2019-16766	NVD-CWE-noinfo
CVE-2019-16767	NVD-CWE-noinfo
CVE-2019-16768	CWE-209
CVE-2019-16769	CWE-79
CVE-2019-1677	CWE-79
CVE-2019-16770	CWE-770
CVE-2019-16771	CWE-74
CVE-2019-16772	CWE-79
CVE-2019-16774	CWE-502
CVE-2019-16775	CWE-59
CVE-2019-16776	CWE-22
CVE-2019-16777	CWE-269
CVE-2019-16778	CWE-787
CVE-2019-16779	CWE-20
CVE-2019-1678	CWE-20
CVE-2019-16780	CWE-79
CVE-2019-16781	CWE-79
CVE-2019-16782	CWE-200
CVE-2019-16784	CWE-732
CVE-2019-16785	CWE-444
CVE-2019-16786	CWE-444
CVE-2019-16789	CWE-444
CVE-2019-1679	CWE-918
CVE-2019-16790	CWE-434
CVE-2019-16791	NVD-CWE-Other
CVE-2019-16792	CWE-444
CVE-2019-1680	CWE-20
CVE-2019-1681	CWE-22
CVE-2019-1682	CWE-20
CVE-2019-1683	CWE-295
CVE-2019-1684	CWE-119
CVE-2019-1685	CWE-79
CVE-2019-1686	NVD-CWE-Other
CVE-2019-16860	CWE-426
CVE-2019-16861	CWE-426
CVE-2019-16862	CWE-79
CVE-2019-16863	CWE-327
CVE-2019-16865	CWE-770
CVE-2019-16866	CWE-755
CVE-2019-16866	CWE-908
CVE-2019-16867	CWE-20
CVE-2019-16868	CWE-22
CVE-2019-16869	CWE-444
CVE-2019-1687	CWE-20
CVE-2019-16871	CWE-20
CVE-2019-16872	NVD-CWE-noinfo
CVE-2019-16873	CWE-79
CVE-2019-16874	NVD-CWE-noinfo
CVE-2019-16876	CWE-22
CVE-2019-16877	NVD-CWE-noinfo
CVE-2019-16878	CWE-79
CVE-2019-16879	CWE-306
CVE-2019-1688	CWE-798
CVE-2019-16880	CWE-415
CVE-2019-16881	CWE-416
CVE-2019-16882	CWE-416
CVE-2019-16884	CWE-863
CVE-2019-16885	CWE-94
CVE-2019-16887	CWE-120
CVE-2019-16889	CWE-770
CVE-2019-1689	CWE-20
CVE-2019-16890	CWE-79
CVE-2019-16891	CWE-502
CVE-2019-16892	CWE-400
CVE-2019-16893	CWE-20
CVE-2019-16894	CWE-89
CVE-2019-16894	CWE-502
CVE-2019-16896	CWE-59
CVE-2019-16897	CWE-269
CVE-2019-16899	NVD-CWE-noinfo
CVE-2019-1690	NVD-CWE-Other
CVE-2019-16900	NVD-CWE-noinfo
CVE-2019-16901	CWE-755
CVE-2019-16902	CWE-20
CVE-2019-16903	CWE-22
CVE-2019-16904	CWE-79
CVE-2019-16905	CWE-190
CVE-2019-16906	CWE-862
CVE-2019-16906	CWE-306
CVE-2019-16907	CWE-862
CVE-2019-16907	CWE-306
CVE-2019-16908	CWE-200
CVE-2019-16909	CWE-200
CVE-2019-1691	CWE-755
CVE-2019-16910	CWE-200
CVE-2019-16913	CWE-276
CVE-2019-16914	CWE-79
CVE-2019-16915	CWE-20
CVE-2019-16917	CWE-89
CVE-2019-16919	CWE-276
CVE-2019-1692	CWE-311
CVE-2019-16920	CWE-78
CVE-2019-16921	CWE-665
CVE-2019-16922	CWE-200
CVE-2019-16923	CWE-79
CVE-2019-16924	CWE-319
CVE-2019-16925	CWE-79
CVE-2019-16926	CWE-79
CVE-2019-16927	CWE-787
CVE-2019-16928	CWE-120
CVE-2019-16929	CWE-287
CVE-2019-1693	NVD-CWE-noinfo
CVE-2019-16930	CWE-755
CVE-2019-16931	CWE-79
CVE-2019-16932	CWE-918
CVE-2019-16935	CWE-79
CVE-2019-1694	NVD-CWE-noinfo
CVE-2019-16941	CWE-91
CVE-2019-16942	CWE-502
CVE-2019-16943	CWE-502
CVE-2019-16948	CWE-918
CVE-2019-16949	CWE-20
CVE-2019-1695	NVD-CWE-Other
CVE-2019-16950	CWE-79
CVE-2019-16951	CWE-200
CVE-2019-16954	CWE-74
CVE-2019-16955	CWE-79
CVE-2019-16956	CWE-79
CVE-2019-16957	CWE-79
CVE-2019-16958	CWE-79
CVE-2019-16959	CWE-74
CVE-2019-1696	CWE-400
CVE-2019-16960	CWE-79
CVE-2019-16961	CWE-79
CVE-2019-16962	CWE-74
CVE-2019-16964	CWE-78
CVE-2019-16965	CWE-78
CVE-2019-16966	CWE-79
CVE-2019-16967	CWE-79
CVE-2019-16968	CWE-79
CVE-2019-16969	CWE-79
CVE-2019-1697	CWE-20
CVE-2019-16970	CWE-79
CVE-2019-16971	CWE-79
CVE-2019-16972	CWE-79
CVE-2019-16973	CWE-79
CVE-2019-16974	CWE-79
CVE-2019-16975	CWE-79
CVE-2019-16976	CWE-79
CVE-2019-16977	CWE-79
CVE-2019-16978	CWE-79
CVE-2019-16979	CWE-79
CVE-2019-1698	CWE-611
CVE-2019-16980	CWE-89
CVE-2019-16981	CWE-79
CVE-2019-16982	CWE-79
CVE-2019-16983	CWE-79
CVE-2019-16984	CWE-79
CVE-2019-16985	CWE-22
CVE-2019-16986	CWE-22
CVE-2019-16987	CWE-79
CVE-2019-16988	CWE-79
CVE-2019-16989	CWE-79
CVE-2019-1699	CWE-78
CVE-2019-16990	CWE-22
CVE-2019-16991	CWE-79
CVE-2019-16992	CWE-347
CVE-2019-16993	CWE-352
CVE-2019-16994	CWE-772
CVE-2019-16995	CWE-772
CVE-2019-16996	CWE-89
CVE-2019-16997	CWE-89
CVE-2019-16999	CWE-89
CVE-2019-1700	CWE-399
CVE-2019-17000	CWE-79
CVE-2019-17001	CWE-79
CVE-2019-17002	CWE-20
CVE-2019-17005	CWE-120
CVE-2019-17006	CWE-345
CVE-2019-17007	CWE-295
CVE-2019-17008	CWE-416
CVE-2019-17009	NVD-CWE-noinfo
CVE-2019-1701	CWE-79
CVE-2019-17010	CWE-416
CVE-2019-17011	CWE-416
CVE-2019-17012	CWE-120
CVE-2019-17013	CWE-120
CVE-2019-17014	CWE-829
CVE-2019-17015	CWE-787
CVE-2019-17016	CWE-79
CVE-2019-17017	CWE-843
CVE-2019-17018	CWE-200
CVE-2019-17019	CWE-20
CVE-2019-1702	CWE-79
CVE-2019-17020	CWE-20
CVE-2019-17021	CWE-200
CVE-2019-17022	CWE-79
CVE-2019-17023	CWE-287
CVE-2019-17024	CWE-120
CVE-2019-17025	CWE-787
CVE-2019-17026	CWE-843
CVE-2019-1703	CWE-770
CVE-2019-1704	CWE-400
CVE-2019-17040	CWE-125
CVE-2019-17041	CWE-120
CVE-2019-17042	CWE-120
CVE-2019-17043	CWE-276
CVE-2019-17044	CWE-276
CVE-2019-17045	CWE-79
CVE-2019-17046	CWE-434
CVE-2019-17049	CWE-89
CVE-2019-1705	CWE-404
CVE-2019-17050	CWE-639
CVE-2019-17051	CWE-20
CVE-2019-17052	CWE-276
CVE-2019-17053	CWE-276
CVE-2019-17054	CWE-276
CVE-2019-17055	CWE-20
CVE-2019-17056	CWE-276
CVE-2019-17057	CWE-79
CVE-2019-17058	CWE-434
CVE-2019-17059	CWE-78
CVE-2019-1706	CWE-404
CVE-2019-17060	CWE-120
CVE-2019-17061	CWE-120
CVE-2019-17062	CWE-384
CVE-2019-17063	CWE-20
CVE-2019-17064	CWE-476
CVE-2019-17066	CWE-269
CVE-2019-17067	CWE-770
CVE-2019-17068	CWE-74
CVE-2019-17069	CWE-20
CVE-2019-1707	CWE-79
CVE-2019-17070	CWE-79
CVE-2019-17071	CWE-79
CVE-2019-17072	CWE-89
CVE-2019-17073	CWE-22
CVE-2019-17074	CWE-79
CVE-2019-17075	NVD-CWE-noinfo
CVE-2019-17076	CWE-502
CVE-2019-1708	CWE-404
CVE-2019-17080	CWE-502
CVE-2019-17085	CWE-611
CVE-2019-17087	CWE-200
CVE-2019-1709	CWE-78
CVE-2019-17091	CWE-79
CVE-2019-17092	CWE-79
CVE-2019-17093	CWE-426
CVE-2019-17094	CWE-787
CVE-2019-17095	CWE-78
CVE-2019-17096	CWE-78
CVE-2019-17098	CWE-798
CVE-2019-17099	CWE-426
CVE-2019-1710	CWE-20
CVE-2019-17100	CWE-426
CVE-2019-17101	CWE-74
CVE-2019-17102	CWE-367
CVE-2019-17103	CWE-276
CVE-2019-17104	CWE-565
CVE-2019-17105	CWE-330
CVE-2019-17106	CWE-312
CVE-2019-17107	CWE-94
CVE-2019-17108	CWE-79
CVE-2019-17109	CWE-22
CVE-2019-1711	CWE-20
CVE-2019-17112	CWE-552
CVE-2019-17113	CWE-120
CVE-2019-17114	CWE-79
CVE-2019-17115	CWE-79
CVE-2019-17116	CWE-79
CVE-2019-17117	CWE-89
CVE-2019-17118	CWE-352
CVE-2019-17119	CWE-89
CVE-2019-1712	CWE-20
CVE-2019-17120	CWE-79
CVE-2019-17121	CWE-79
CVE-2019-17123	CWE-20
CVE-2019-17124	CWE-276
CVE-2019-17125	CWE-79
CVE-2019-17127	CWE-79
CVE-2019-17128	CWE-89
CVE-2019-1713	CWE-352
CVE-2019-17130	CWE-552
CVE-2019-17131	CWE-1021
CVE-2019-17132	CWE-20
CVE-2019-17133	CWE-120
CVE-2019-17134	CWE-287
CVE-2019-17135	CWE-787
CVE-2019-17136	CWE-125
CVE-2019-17137	NVD-CWE-Other
CVE-2019-17138	CWE-125
CVE-2019-17139	CWE-787
CVE-2019-1714	NVD-CWE-Other
CVE-2019-17140	CWE-416
CVE-2019-17141	CWE-416
CVE-2019-17142	CWE-416
CVE-2019-17143	CWE-416
CVE-2019-17144	CWE-787
CVE-2019-17145	CWE-787
CVE-2019-17146	CWE-20
CVE-2019-17147	CWE-120
CVE-2019-17148	CWE-78
CVE-2019-1715	CWE-332
CVE-2019-17151	CWE-601
CVE-2019-1716	CWE-20
CVE-2019-1717	CWE-22
CVE-2019-17175	CWE-22
CVE-2019-17176	CWE-79
CVE-2019-17177	CWE-772
CVE-2019-17178	CWE-772
CVE-2019-17179	CWE-79
CVE-2019-1718	NVD-CWE-noinfo
CVE-2019-17180	CWE-22
CVE-2019-17181	CWE-120
CVE-2019-17183	CWE-772
CVE-2019-17184	NVD-CWE-noinfo
CVE-2019-17185	CWE-20
CVE-2019-17186	CWE-20
CVE-2019-17187	CWE-22
CVE-2019-17188	CWE-434
CVE-2019-17189	CWE-79
CVE-2019-1719	CWE-79
CVE-2019-17190	CWE-863
CVE-2019-17191	CWE-20
CVE-2019-17192	CWE-20
CVE-2019-17195	CWE-754
CVE-2019-17197	CWE-89
CVE-2019-17199	CWE-22
CVE-2019-1720	CWE-20
CVE-2019-17201	NVD-CWE-noinfo
CVE-2019-17202	CWE-269
CVE-2019-17203	CWE-79
CVE-2019-17204	CWE-79
CVE-2019-17205	CWE-79
CVE-2019-17206	CWE-502
CVE-2019-17207	CWE-79
CVE-2019-1721	CWE-20
CVE-2019-17210	CWE-20
CVE-2019-17211	CWE-190
CVE-2019-17212	CWE-787
CVE-2019-17212	CWE-129
CVE-2019-17213	CWE-79
CVE-2019-17214	CWE-79
CVE-2019-17215	CWE-307
CVE-2019-17216	CWE-916
CVE-2019-17217	CWE-352
CVE-2019-17218	CWE-311
CVE-2019-17219	CWE-306
CVE-2019-1722	CWE-352
CVE-2019-17220	CWE-79
CVE-2019-17221	CWE-552
CVE-2019-17222	CWE-79
CVE-2019-17223	CWE-79
CVE-2019-17224	CWE-22
CVE-2019-17225	CWE-79
CVE-2019-17226	CWE-79
CVE-2019-17228	CWE-345
CVE-2019-17229	CWE-79
CVE-2019-1723	CWE-798
CVE-2019-17230	NVD-CWE-noinfo
CVE-2019-17231	CWE-79
CVE-2019-17232	CWE-20
CVE-2019-17233	CWE-79
CVE-2019-17234	CWE-20
CVE-2019-17235	CWE-200
CVE-2019-17236	CWE-79
CVE-2019-17237	CWE-352
CVE-2019-17239	CWE-79
CVE-2019-1724	CWE-287
CVE-2019-17240	CWE-307
CVE-2019-17241	CWE-787
CVE-2019-17242	CWE-787
CVE-2019-17243	CWE-120
CVE-2019-17244	CWE-120
CVE-2019-17245	CWE-787
CVE-2019-17246	CWE-787
CVE-2019-17247	CWE-120
CVE-2019-17248	CWE-787
CVE-2019-17249	CWE-787
CVE-2019-1725	CWE-78
CVE-2019-17250	CWE-787
CVE-2019-17251	CWE-787
CVE-2019-17252	CWE-787
CVE-2019-17253	CWE-787
CVE-2019-17254	CWE-787
CVE-2019-17255	CWE-787
CVE-2019-17256	CWE-787
CVE-2019-17257	CWE-754
CVE-2019-17258	CWE-787
CVE-2019-17259	CWE-787
CVE-2019-1726	CWE-78
CVE-2019-17260	CWE-125
CVE-2019-17261	CWE-787
CVE-2019-17262	CWE-787
CVE-2019-17263	CWE-125
CVE-2019-17264	CWE-125
CVE-2019-17266	CWE-125
CVE-2019-17267	CWE-502
CVE-2019-17268	CWE-94
CVE-2019-17269	CWE-78
CVE-2019-1727	CWE-78
CVE-2019-17270	CWE-78
CVE-2019-17271	CWE-89
CVE-2019-17272	CWE-20
CVE-2019-17273	CWE-20
CVE-2019-17274	CWE-1188
CVE-2019-17275	NVD-CWE-noinfo
CVE-2019-17276	CWE-79
CVE-2019-1728	CWE-347
CVE-2019-1729	CWE-347
CVE-2019-17292	CWE-89
CVE-2019-17293	CWE-89
CVE-2019-17294	CWE-89
CVE-2019-17295	CWE-89
CVE-2019-17296	CWE-89
CVE-2019-17297	CWE-89
CVE-2019-17298	CWE-89
CVE-2019-17299	CWE-94
CVE-2019-1730	NVD-CWE-noinfo
CVE-2019-17300	CWE-94
CVE-2019-17301	CWE-94
CVE-2019-17302	CWE-94
CVE-2019-17303	CWE-94
CVE-2019-17304	CWE-94
CVE-2019-17305	CWE-94
CVE-2019-17306	CWE-94
CVE-2019-17307	CWE-94
CVE-2019-17308	CWE-94
CVE-2019-17309	CWE-94
CVE-2019-1731	CWE-755
CVE-2019-17310	CWE-94
CVE-2019-17311	CWE-22
CVE-2019-17312	CWE-22
CVE-2019-17313	CWE-22
CVE-2019-17314	CWE-22
CVE-2019-17315	CWE-915
CVE-2019-17316	CWE-915
CVE-2019-17317	CWE-915
CVE-2019-17318	CWE-89
CVE-2019-17319	CWE-89
CVE-2019-1732	CWE-78
CVE-2019-17320	CWE-120
CVE-2019-17321	CWE-200
CVE-2019-17322	CWE-20
CVE-2019-17323	CWE-91
CVE-2019-17324	CWE-22
CVE-2019-17325	CWE-434
CVE-2019-17326	CWE-20
CVE-2019-17327	CWE-22
CVE-2019-1733	CWE-79
CVE-2019-17330	CWE-79
CVE-2019-17331	CWE-79
CVE-2019-17332	CWE-79
CVE-2019-17333	CWE-79
CVE-2019-17334	CWE-276
CVE-2019-17335	CWE-200
CVE-2019-17336	NVD-CWE-noinfo
CVE-2019-17337	CWE-79
CVE-2019-17338	CWE-79
CVE-2019-17339	NVD-CWE-noinfo
CVE-2019-1734	NVD-CWE-Other
CVE-2019-17340	CWE-20
CVE-2019-17341	CWE-362
CVE-2019-17342	CWE-362
CVE-2019-17343	CWE-20
CVE-2019-17344	CWE-20
CVE-2019-17345	CWE-20
CVE-2019-17346	CWE-20
CVE-2019-17347	CWE-20
CVE-2019-17348	CWE-20
CVE-2019-17349	CWE-835
CVE-2019-1735	CWE-88
CVE-2019-17350	CWE-835
CVE-2019-17351	CWE-770
CVE-2019-17352	CWE-434
CVE-2019-17353	CWE-306
CVE-2019-17354	CWE-306
CVE-2019-17355	CWE-532
CVE-2019-17356	CWE-326
CVE-2019-17357	CWE-89
CVE-2019-17358	CWE-787
CVE-2019-17358	CWE-502
CVE-2019-17359	CWE-770
CVE-2019-1736	CWE-347
CVE-2019-17360	CWE-400
CVE-2019-17361	CWE-77
CVE-2019-17362	CWE-125
CVE-2019-17364	CWE-78
CVE-2019-17365	CWE-276
CVE-2019-17366	NVD-CWE-noinfo
CVE-2019-17367	CWE-352
CVE-2019-17368	CWE-79
CVE-2019-17369	CWE-352
CVE-2019-1737	CWE-770
CVE-2019-17370	CWE-20
CVE-2019-17371	CWE-772
CVE-2019-17372	CWE-287
CVE-2019-17373	NVD-CWE-noinfo
CVE-2019-17375	CWE-613
CVE-2019-17376	CWE-79
CVE-2019-17377	CWE-79
CVE-2019-17378	CWE-79
CVE-2019-17379	CWE-79
CVE-2019-1738	CWE-20
CVE-2019-17380	CWE-79
CVE-2019-17382	CWE-639
CVE-2019-17383	CWE-276
CVE-2019-17384	CWE-79
CVE-2019-17385	CWE-79
CVE-2019-17386	CWE-352
CVE-2019-17387	NVD-CWE-noinfo
CVE-2019-17388	CWE-732
CVE-2019-17389	NVD-CWE-noinfo
CVE-2019-1739	CWE-20
CVE-2019-17390	NVD-CWE-noinfo
CVE-2019-17391	CWE-755
CVE-2019-17392	CWE-640
CVE-2019-17393	CWE-522
CVE-2019-17394	CWE-532
CVE-2019-17395	CWE-532
CVE-2019-17396	CWE-532
CVE-2019-17397	CWE-532
CVE-2019-17398	CWE-532
CVE-2019-17399	CWE-22
CVE-2019-1740	CWE-20
CVE-2019-17400	CWE-918
CVE-2019-17401	CWE-125
CVE-2019-17402	CWE-120
CVE-2019-17403	CWE-434
CVE-2019-17404	CWE-22
CVE-2019-17405	CWE-79
CVE-2019-17406	CWE-22
CVE-2019-17408	CWE-20
CVE-2019-17409	CWE-79
CVE-2019-1741	CWE-416
CVE-2019-17414	CWE-20
CVE-2019-17415	CWE-120
CVE-2019-17417	CWE-79
CVE-2019-17418	CWE-89
CVE-2019-17419	CWE-89
CVE-2019-1742	NVD-CWE-Other
CVE-2019-17420	CWE-20
CVE-2019-17421	CWE-276
CVE-2019-17424	CWE-787
CVE-2019-17426	CWE-20
CVE-2019-17427	CWE-79
CVE-2019-17428	CWE-326
CVE-2019-17429	CWE-89
CVE-2019-1743	CWE-20
CVE-2019-17430	CWE-79
CVE-2019-17431	CWE-352
CVE-2019-17432	CWE-79
CVE-2019-17432	CWE-352
CVE-2019-17433	CWE-79
CVE-2019-17434	CWE-79
CVE-2019-17435	NVD-CWE-noinfo
CVE-2019-17436	NVD-CWE-noinfo
CVE-2019-17437	CWE-287
CVE-2019-17440	NVD-CWE-Other
CVE-2019-17444	CWE-521
CVE-2019-17445	CWE-59
CVE-2019-17446	CWE-426
CVE-2019-17449	CWE-426
CVE-2019-1745	CWE-78
CVE-2019-17450	CWE-674
CVE-2019-17451	CWE-190
CVE-2019-17452	CWE-476
CVE-2019-17453	CWE-476
CVE-2019-17454	CWE-476
CVE-2019-17455	CWE-120
CVE-2019-1746	CWE-20
CVE-2019-1747	NVD-CWE-Other
CVE-2019-1748	CWE-295
CVE-2019-17488	CWE-79
CVE-2019-17489	CWE-79
CVE-2019-1749	CWE-20
CVE-2019-17490	CWE-434
CVE-2019-17491	CWE-79
CVE-2019-17493	CWE-79
CVE-2019-17494	CWE-79
CVE-2019-17495	CWE-79
CVE-2019-17496	CWE-79
CVE-2019-17497	CWE-522
CVE-2019-17498	CWE-190
CVE-2019-17499	CWE-78
CVE-2019-1750	CWE-388
CVE-2019-17501	CWE-78
CVE-2019-17502	CWE-476
CVE-2019-17503	CWE-200
CVE-2019-17504	CWE-79
CVE-2019-17505	CWE-306
CVE-2019-17506	CWE-306
CVE-2019-17507	CWE-20
CVE-2019-17508	CWE-78
CVE-2019-17509	CWE-78
CVE-2019-1751	CWE-20
CVE-2019-17510	CWE-78
CVE-2019-17511	CWE-306
CVE-2019-17512	CWE-306
CVE-2019-17513	CWE-74
CVE-2019-17514	NVD-CWE-noinfo
CVE-2019-17514	CWE-682
CVE-2019-17515	CWE-79
CVE-2019-17517	CWE-120
CVE-2019-17518	CWE-120
CVE-2019-17519	CWE-120
CVE-2019-1752	CWE-20
CVE-2019-17520	CWE-120
CVE-2019-17521	CWE-352
CVE-2019-17522	CWE-79
CVE-2019-17523	CWE-79
CVE-2019-17524	CWE-79
CVE-2019-17525	CWE-307
CVE-2019-17526	CWE-78
CVE-2019-17526	CWE-94
CVE-2019-17527	CWE-89
CVE-2019-17528	NVD-CWE-noinfo
CVE-2019-17529	CWE-125
CVE-2019-1753	CWE-20
CVE-2019-17530	CWE-125
CVE-2019-17531	CWE-502
CVE-2019-17532	CWE-20
CVE-2019-17533	CWE-908
CVE-2019-17533	CWE-125
CVE-2019-17534	CWE-416
CVE-2019-17535	CWE-79
CVE-2019-17536	CWE-434
CVE-2019-17537	CWE-22
CVE-2019-17538	CWE-22
CVE-2019-17539	CWE-476
CVE-2019-1754	CWE-269
CVE-2019-17540	CWE-120
CVE-2019-17541	CWE-416
CVE-2019-17542	CWE-129
CVE-2019-17543	CWE-120
CVE-2019-17544	CWE-125
CVE-2019-17545	CWE-415
CVE-2019-17546	CWE-787
CVE-2019-17546	CWE-190
CVE-2019-17547	CWE-416
CVE-2019-17549	NVD-CWE-Other
CVE-2019-1755	CWE-20
CVE-2019-17550	CWE-79
CVE-2019-17551	CWE-79
CVE-2019-17552	CWE-89
CVE-2019-17553	CWE-89
CVE-2019-17554	CWE-611
CVE-2019-17555	CWE-20
CVE-2019-17556	CWE-502
CVE-2019-17557	CWE-79
CVE-2019-17558	CWE-20
CVE-2019-17559	CWE-444
CVE-2019-1756	CWE-20
CVE-2019-17560	CWE-295
CVE-2019-17561	CWE-20
CVE-2019-17562	CWE-20
CVE-2019-17563	CWE-384
CVE-2019-17564	CWE-502
CVE-2019-17565	CWE-444
CVE-2019-17566	CWE-918
CVE-2019-17569	CWE-444
CVE-2019-1757	CWE-295
CVE-2019-17570	CWE-502
CVE-2019-17571	CWE-502
CVE-2019-17572	CWE-22
CVE-2019-17573	CWE-79
CVE-2019-17574	CWE-639
CVE-2019-17575	CWE-94
CVE-2019-17576	CWE-79
CVE-2019-17577	CWE-79
CVE-2019-17578	CWE-79
CVE-2019-17579	CWE-79
CVE-2019-1758	CWE-287
CVE-2019-17580	CWE-89
CVE-2019-17581	CWE-79
CVE-2019-17583	CWE-770
CVE-2019-17584	NVD-CWE-noinfo
CVE-2019-1759	CWE-287
CVE-2019-17590	CWE-352
CVE-2019-17592	CWE-20
CVE-2019-17593	CWE-352
CVE-2019-17594	CWE-125
CVE-2019-17595	CWE-125
CVE-2019-17596	CWE-436
CVE-2019-17598	CWE-326
CVE-2019-17599	CWE-79
CVE-2019-1760	CWE-20
CVE-2019-17600	CWE-352
CVE-2019-17601	CWE-787
CVE-2019-17602	CWE-89
CVE-2019-17603	CWE-787
CVE-2019-17604	CWE-639
CVE-2019-17605	CWE-639
CVE-2019-17606	CWE-79
CVE-2019-17607	CWE-79
CVE-2019-17608	CWE-79
CVE-2019-17609	CWE-79
CVE-2019-1761	CWE-665
CVE-2019-17610	CWE-79
CVE-2019-17611	CWE-79
CVE-2019-17612	CWE-89
CVE-2019-17613	CWE-94
CVE-2019-1762	CWE-200
CVE-2019-17621	CWE-78
CVE-2019-17624	CWE-787
CVE-2019-17625	CWE-78
CVE-2019-17625	CWE-79
CVE-2019-17626	CWE-91
CVE-2019-17627	CWE-287
CVE-2019-17629	CWE-79
CVE-2019-1763	NVD-CWE-Other
CVE-2019-17630	CWE-79
CVE-2019-17631	CWE-269
CVE-2019-17632	CWE-79
CVE-2019-17633	CWE-352
CVE-2019-17634	CWE-79
CVE-2019-17635	CWE-502
CVE-2019-17636	CWE-345
CVE-2019-17637	CWE-611
CVE-2019-17638	CWE-672
CVE-2019-17639	CWE-843
CVE-2019-1764	CWE-352
CVE-2019-17640	CWE-22
CVE-2019-17642	CWE-78
CVE-2019-17642	CWE-352
CVE-2019-17643	CWE-200
CVE-2019-17644	CWE-200
CVE-2019-17645	CWE-200
CVE-2019-17646	CWE-200
CVE-2019-17647	CWE-89
CVE-2019-1765	CWE-22
CVE-2019-17650	CWE-78
CVE-2019-17651	CWE-79
CVE-2019-17652	CWE-787
CVE-2019-17653	CWE-352
CVE-2019-17654	CWE-345
CVE-2019-17655	CWE-312
CVE-2019-17657	CWE-400
CVE-2019-17658	CWE-428
CVE-2019-1766	CWE-20
CVE-2019-17660	CWE-79
CVE-2019-17661	CWE-74
CVE-2019-17662	CWE-522
CVE-2019-17662	CWE-22
CVE-2019-17663	CWE-79
CVE-2019-17664	CWE-426
CVE-2019-17665	CWE-426
CVE-2019-17666	CWE-120
CVE-2019-17667	CWE-79
CVE-2019-17668	CWE-20
CVE-2019-17669	CWE-918
CVE-2019-1767	CWE-78
CVE-2019-17670	CWE-918
CVE-2019-17671	CWE-200
CVE-2019-17672	CWE-79
CVE-2019-17673	CWE-20
CVE-2019-17674	CWE-79
CVE-2019-17675	CWE-843
CVE-2019-17675	CWE-352
CVE-2019-17676	CWE-352
CVE-2019-1768	CWE-78
CVE-2019-1769	CWE-78
CVE-2019-1770	CWE-78
CVE-2019-1771	CWE-119
CVE-2019-1772	CWE-119
CVE-2019-1773	CWE-119
CVE-2019-1774	CWE-78
CVE-2019-1775	CWE-78
CVE-2019-1776	CWE-78
CVE-2019-1777	CWE-79
CVE-2019-1778	CWE-78
CVE-2019-1779	CWE-88
CVE-2019-1780	CWE-88
CVE-2019-1781	CWE-88
CVE-2019-1782	CWE-88
CVE-2019-1783	CWE-88
CVE-2019-1784	CWE-88
CVE-2019-1785	CWE-22
CVE-2019-1786	CWE-125
CVE-2019-1787	CWE-125
CVE-2019-1788	CWE-787
CVE-2019-1789	CWE-125
CVE-2019-1790	CWE-88
CVE-2019-1791	CWE-88
CVE-2019-1792	CWE-79
CVE-2019-1794	CWE-427
CVE-2019-1795	CWE-88
CVE-2019-1796	CWE-20
CVE-2019-1797	CWE-352
CVE-2019-1798	CWE-125
CVE-2019-1799	CWE-20
CVE-2019-1800	CWE-20
CVE-2019-1802	CWE-79
CVE-2019-1803	CWE-732
CVE-2019-1804	CWE-310
CVE-2019-1805	CWE-20
CVE-2019-1806	CWE-770
CVE-2019-1807	CWE-384
CVE-2019-1808	CWE-347
CVE-2019-1809	CWE-347
CVE-2019-1810	CWE-347
CVE-2019-1811	CWE-347
CVE-2019-1812	CWE-347
CVE-2019-1813	CWE-347
CVE-2019-1814	CWE-770
CVE-2019-1816	CWE-20
CVE-2019-1817	CWE-20
CVE-2019-18178	CWE-416
CVE-2019-18179	CWE-200
CVE-2019-1818	CWE-22
CVE-2019-18180	CWE-835
CVE-2019-18181	NVD-CWE-noinfo
CVE-2019-18182	CWE-78
CVE-2019-18183	CWE-78
